127.0.0.1 - - [07/May/2020:16:38:46 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [07/May/2020:16:38:56 +0900] "GET /TU_Platform/dashboard/MBS1018_sample_app.html HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/May/2020:16:38:56 +0900] "GET /TU_Platform/dashboard/ebapi-modules.js HTTP/1.1" 404 664
0:0:0:0:0:0:0:1 - - [07/May/2020:16:38:56 +0900] "GET /TU_Platform/dashboard/elements.js HTTP/1.1" 404 659
0:0:0:0:0:0:0:1 - - [07/May/2020:17:28:09 +0900] "GET /TU_Platform/dashboard/MBS1018_sample_app.html HTTP/1.1" 200 4723
0:0:0:0:0:0:0:1 - - [07/May/2020:17:28:09 +0900] "GET /TU_Platform/dashboard/elements.js HTTP/1.1" 404 659
0:0:0:0:0:0:0:1 - - [07/May/2020:17:28:09 +0900] "GET /TU_Platform/dashboard/ebapi-modules.js HTTP/1.1" 404 664
0:0:0:0:0:0:0:1 - - [07/May/2020:17:28:38 +0900] "GET /TU_Platform/dashboard/MBS1018_sample_app.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2020:17:28:38 +0900] "GET /TU_Platform/dashboard/ebapi-modules.js HTTP/1.1" 404 664
0:0:0:0:0:0:0:1 - - [07/May/2020:17:28:38 +0900] "GET /TU_Platform/dashboard/elements.js HTTP/1.1" 404 659
0:0:0:0:0:0:0:1 - - [07/May/2020:17:28:43 +0900] "GET /TU_Platform/dashboard/MBS1018_sample_app.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2020:17:28:43 +0900] "GET /TU_Platform/dashboard/ebapi-modules.js HTTP/1.1" 404 664
0:0:0:0:0:0:0:1 - - [07/May/2020:17:28:43 +0900] "GET /TU_Platform/dashboard/elements.js HTTP/1.1" 404 659
