127.0.0.1 - - [11/May/2020:13:22:22 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:31 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_division_list.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%7d%5d HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:33 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_division_list.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%7d%5d HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:33 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_bcrport.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22MACADDRESS%22%3a%220C7A1566940F%22%7d%5d HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:33 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_badqtyflag.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22DIVISION_CD%22%3a%22ADKR%22%2c%22COMPANY_CD%22%3a%22ADINT%22%7d%5d HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:33 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_badCode_list.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22DIVISION_CD%22%3a%22ADKR%22%2c%22COMPANY_CD%22%3a%22ADINT%22%7d%5d HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:38 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_bcrport.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22MACADDRESS%22%3a%220C7A1566940F%22%7d%5d HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:38 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_badqtyflag.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22DIVISION_CD%22%3a%22AD%22%2c%22COMPANY_CD%22%3a%22ADINT%22%7d%5d HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:38 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_badCode_list.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22DIVISION_CD%22%3a%22AD%22%2c%22COMPANY_CD%22%3a%22ADINT%22%7d%5d HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:39 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_bcrport.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22MACADDRESS%22%3a%220C7A1566940F%22%7d%5d HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:39 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_badqtyflag.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22DIVISION_CD%22%3a%22ADKR%22%2c%22COMPANY_CD%22%3a%22ADINT%22%7d%5d HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [11/May/2020:13:22:39 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_badCode_list.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22DIVISION_CD%22%3a%22ADKR%22%2c%22COMPANY_CD%22%3a%22ADINT%22%7d%5d HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [11/May/2020:16:45:21 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_division_list.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%7d%5d HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [11/May/2020:16:45:21 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_bcrport.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22MACADDRESS%22%3a%220C7A1566940F%22%7d%5d HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/May/2020:16:45:21 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_badqtyflag.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22DIVISION_CD%22%3a%22ADKR%22%2c%22COMPANY_CD%22%3a%22ADINT%22%7d%5d HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [11/May/2020:16:45:21 +0900] "GET /TU_Platform/pop/request/com.thirautech.mom.pop.popResult.get_badCode_list.dummy?param=%5b%7b%22p_err_code%22%3a%22%22%2c%22DIVISION_CD%22%3a%22ADKR%22%2c%22COMPANY_CD%22%3a%22ADINT%22%7d%5d HTTP/1.1" 200 3288
